"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"61","270.0065402287925","220.61119156389026","4.791292993382463","-0.3089933751290032","0.009521484375","0.010986328125","0.008056640625","1600","0.00015394121387092812","60","0","0.00015394121387092812","0.00015394121387092812","62:0.005444394030239497","62:660","0.009521484375","Yes"
"62","237.64376498698448","177.62913387637167","4.6827081724842206","-0.3107628812666313","0.0184326171875","0.016357421875","0.0205078125","1600","0.00019992470629815598","60","0","0.00019992470629815598","0.00019992470629815598","","","0.0184326171875","Yes"
"63","116.06709920043502","116.49184985496238","4.7619010328683276","-0.31004626423994786","0.01513671875","0.016845703125","0.013427734375","1600","0.00022819747714273133","60","0","0.00022819747714273133","0.00022819747714273133","62:0.010327299580948107;64:0.012838422523187426","62:660;64:660","0.01513671875","Yes"
"64","93.19064760704377","59.954760863641084","4.977564654012937","-0.30711821418459645","0.0172119140625","0.011474609375","0.02294921875","1600","0.0003449312251659339","60","0","0.0003449312251659339","0.0003449312251659339","54:0.006492969506067425","54:660","0.0172119140625","Yes"
"65","316.13329104116616","156.5777293420575","4.801859555545025","-0.3079909228056931","0.0250244140625","0.018798828125","0.03125","1600","0.00023226042142985063","60","0","0.00023226042142985063","0.00023226042142985063","64:0.012846374809494965","64:660","0.0250244140625","Yes"
"66","255.73937389929","157.93756053189327","4.871240243078849","-0.30852944230920076","0.0863037109375","0.080810546875","0.091796875","1600","0.00021024839585910037","60","0","0.00021024839585910037","0.00021024839585910037","73:0.02143082190052706;65:0.007815962568014284;67:0.008755263833215593","73:660;65:660;67:660","0.0863037109375","Yes"
"67","341.7182718501921","67.06552614971233","4.793626898491303","-0.30952495731223595","0.1094970703125","0.110107421875","0.10888671875","1600","0.00019672892400480433","60","0","0.00019672892400480433","0.00019672892400480433","68:0.007656344911993046","68:660","0.1094970703125","Yes"
"68","198.261951870935","60.814000685261306","5.043124503487924","-0.30500623650344527","0.0257568359375","0.020751953125","0.03076171875","1600","0.00025867613395226513","60","0","0.00025867613395226513","0.00025867613395226513","","","0.0257568359375","Yes"
"69","173.9733127167866","92.14675210398167","4.887452457666003","-0.30735510338085625","0.0875244140625","0.140625","0.034423828125","1600","0.0024748651362551492","60","0","0.0024748651362551492","0.0024748651362551492","68:0.03496387160837361;70:0.04534945809521587","68:660;70:660","0.0875244140625","Yes"
"70","405.10475184152665","146.32631800441322","4.822596271258717","-0.30829680465134995","0.113525390625","0.08984375","0.15234375","1600","0.0002487510338202832","60","0","0.0002487510338202832","0.0002487510338202832","","","0.113525390625","Yes"
"71","149.9904925491818","158.87740589169147","4.751662592233333","-0.3097318915397958","0.0224609375","0.017333984375","0.027587890625","1600","0.0002852419869331877","60","0","0.0002852419869331877","0.0002852419869331877","58:0.013039091199862518","58:660","0.0224609375","Yes"
"72","254.09032589604448","38.97931683387674","4.949446986820729","-0.3068859707445303","0.16015625","0.031982421875","0.288330078125","1600","0.0002522748299325795","60","0","0.0002522748299325795","0.0002522748299325795","81:0.005739468663400499;62:0.0066577666101226285","81:660;62:660","0.16015625","Yes"
"73","258.46807203811164","169.83791035808648","4.752954637833744","-0.30978559929392785","0.022216796875","0.020263671875","0.024169921875","1600","0.00017050601806686442","60","0","0.00017050601806686442","0.00017050601806686442","85:0.01125535799783417","85:660","0.022216796875","Yes"
"74","209.6101764215946","154.2087895331278","4.750329894843081","-0.309208739533841","0.0335693359375","0.035400390625","0.03173828125","1600","0.00020139378875999993","60","0","0.00020139378875999993","0.00020139378875999993","70:0.004595138925103798;89:0.006544188608820833","70:660;89:660","0.0335693359375","Yes"
"75","208.50307851266757","43.92077613067687","4.861815743551236","-0.3073400666893039","0.0228271484375","0.023193359375","0.0224609375","1600","0.00043539158446142206","60","0","0.00043539158446142206","0.00043539158446142206","","","0.0228271484375","Yes"
"76","220.77318240960656","205.09671909305055","4.939244428545406","-0.30750720610086735","0.01416015625","0.012939453125","0.015380859375","1600","0.00024023454912109967","60","0","0.00024023454912109967","0.00024023454912109967","75:0.007860676972712088","75:660","0.01416015625","Yes"
