"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"72","218.18554997399866","244.10075274991132","0.0084228515625","0.00537109375","0.011474609375","2584","0.00011103041599277671","32","0.00011103041599277671","0","0.00011103041599277671","0.00011103041599277671","73:0.0009948269776250962;71:0.006343777548061674","73:68;71:68","73:0.0011562835177695574;71:0.004117889167218031","0.0084228515625","Yes"
"73","296.54788364899423","275.71164344157427","0.00732421875","0.007080078125","0.007568359375","2584","0.00012816584869942944","32","0.00012816584869942944","0","0.00012816584869942944","0.00012816584869942944","72:0.0009948269776250962;74:0.0013243011652390446;79:0.0010668311053437518","72:68;74:124;79:68","72:0.0011562835177695574;74:0.001014518983911361;79:0.003071194071718464","0.00732421875","Yes"
"74","282.04629757531393","331.3984293289474","0.0074462890625","0.00341796875","0.011474609375","2584","0.0002764803387312002","32","0.0002764803387312002","0","0.0002764803387312002","0.0002764803387312002","73:0.0013243011652390446;75:0.0010124921743192017","73:124;75:68","73:0.001014518983911361;75:0.0008874664890622941","0.0074462890625","Yes"
"75","276.26643431995194","432.13285865389304","0.0125732421875","0.018310546875","0.0068359375","2584","0.00023670820857795146","32","0.00023670820857795146","0","0.00023670820857795146","0.00023670820857795146","59:0.0008927455951341645;74:0.0010124921743192017","59:68;74:68","59:0.0008407039160175656;74:0.0008874664890622941","0.0125732421875","Yes"
"76","243.7088270398507","344.7462257135849","0.00732421875","0.00634765625","0.00830078125","2584","0.0002921989989177943","32","0.0002921989989177943","0","0.0002921989989177943","0.0002921989989177943","81:0.007043390360893853;61:0.0041692018592274505","81:68;61:68","81:0.003186930132597382;61:0.001405310693862516","0.00732421875","Yes"
"77","189.98990445365368","251.73818040765187","0.0074462890625","0.009033203125","0.005859375","2584","0.00020283467769646526","32","0.00020283467769646526","0","0.00020283467769646526","0.00020283467769646526","85:0.0015403118990506837;65:0.0013063989729607817","85:68;65:68","85:0.0015602831642449466;65:0.0015784403133994873","0.0074462890625","Yes"
"78","174.8961877873174","196.91089112326085","0.0059814453125","0.005859375","0.006591796875","2584","0.00011338638450859941","32","0.00011338638450859941","0","0.00011338638450859941","0.00011338638450859941","69:0.005123172731834741;89:0.009347068351010485","69:68;89:68","69:0.003384909734378466;89:0.006222509499762857","0.0059814453125","Yes"
"79","263.52140772461286","505.2444615212059","0.003662109375","0.0029296875","0.00439453125","2584","0.0001446127583021889","32","0.0001446127583021889","0","0.0001446127583021889","0.0001446127583021889","93:0.0011097517787166666;73:0.0010668311053437518","93:68;73:68","93:0.0011446645259395594;73:0.003071194071718464","0.003662109375","Yes"
"80","331.5224809139564","537.2067910197978","0.0084228515625","0.003662109375","0.01318359375","2584","0.00019529747156749725","32","0.00019529747156749725","0","0.00019529747156749725","0.00019529747156749725","81:0.001142614853069629","81:68","81:0.0011896541302113262","0.0084228515625","Yes"
"81","255.11596088576997","227.45997025382104","0.0037841796875","0.002685546875","0.0048828125","2584","0.0003347862400740685","32","0.0003347862400740685","0","0.0003347862400740685","0.0003347862400740685","80:0.001142614853069629;82:0.001408178715173375;76:0.007043390360893853","80:68;82:68;76:68","80:0.0011896541302113262;82:0.001960270879460213;76:0.003186930132597382","0.0037841796875","Yes"
"82","256.15200008301554","240.30136021076373","0.0086669921875","0.006591796875","0.0107421875","2584","0.000182808991838741","32","0.000182808991838741","0","0.000182808991838741","0.000182808991838741","81:0.001408178715173375;83:0.0012402928355445264","81:68;83:68","81:0.001960270879460213;83:0.001290404464310585","0.0086669921875","Yes"
"83","322.0333599897851","378.0429259532069","0.0040283203125","0.005859375","0.002197265625","2584","0.00020603181140633892","32","0.00020603181140633892","0","0.00020603181140633892","0.00020603181140633892","96:0.0029846948217046865;82:0.0012402928355445264;84:0.0014090871668114568","96:68;82:68;84:68","96:0.001835877776751066;82:0.001290404464310585;84:0.001072692175632356","0.0040283203125","Yes"
