"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"64","156.1427569289816","53.53990982542878","4.754617248607322","-0.3107555679666697","0.05126953125","0.0634765625","0.0390625","1500","0.0005010769464600878","60","0","0.0005010769464600878","0.0005010769464600878","63:0.010704152689778285;65:0.009417352809266144","63:660;65:660","0.05126953125","Yes"
"65","107.51177236086035","92.81149630933226","4.683066861100994","-0.3112548288758768","0.033447265625","0.028564453125","0.038330078125","1500","0.00041509933832628614","60","0","0.00041509933832628614","0.00041509933832628614","","","0.033447265625","Yes"
"66","234.83457856930906","136.87378298047182","4.931570871282095","-0.30805561692545796","0.03173828125","0.01953125","0.0439453125","1500","0.0004111095667812241","60","0","0.0004111095667812241","0.0004111095667812241","73:0.013711064676968143;65:0.01599217851758991","73:660;65:660","0.03173828125","Yes"
"67","183.17232826991145","201.5829184860872","4.720587512561535","-0.31066413212907157","0.0845947265625","0.10009765625","0.069091796875","1500","0.00033268084226111694","60","0","0.00033268084226111694","0.00033268084226111694","66:0.007589155973265926","66:660","0.0845947265625","Yes"
"68","258.40062418030175","94.68882104076842","4.8309001182441","-0.30844225394428076","0.04541015625","0.04345703125","0.04736328125","1500","0.00024016152171283585","60","0","0.00024016152171283585","0.00024016152171283585","67:0.006987140886639848","67:660","0.04541015625","Yes"
"69","76.95979258730243","39.829162290011766","4.706172885549231","-0.3112827319556066","0.04833984375","0.040771484375","0.055908203125","1500","0.0003622338671839558","60","0","0.0003622338671839558","0.0003622338671839558","68:0.009623486911776308","68:660","0.04833984375","Yes"
"70","150.7762162480642","39.85427150343324","4.766741102547161","-0.2991547723061579","0.0950927734375","0.0966796875","0.128173828125","1500","0.0005212856229819151","60","0","0.0005212856229819151","0.0005212856229819151","74:0.010326401337072244;69:0.014884692561620005","74:660;69:660","0.0950927734375","Yes"
"71","267.0699002620543","196.8276813703835","4.973179163773735","-0.307078522160035","0.0936279296875","0.08203125","0.105224609375","1500","0.00020053724492942096","60","0","0.00020053724492942096","0.00020053724492942096","58:0.003951993036568263;77:0.005857723697890532","58:660;77:660","0.0936279296875","Yes"
"72","70.22450959643598","23.67740746788835","4.741247306605991","-0.2795033791163603","0.068603515625","0.04638671875","0.0908203125","1500","0.0011223504783006673","60","0","0.0011223504783006673","0.0011223504783006673","","","0.068603515625","Yes"
"73","208.70626599706387","148.33539009359205","5.021175612823106","-0.30664972496028814","0.039306640625","0.041748046875","0.036865234375","1500","0.00047927727957268977","60","0","0.00047927727957268977","0.00047927727957268977","","","0.039306640625","Yes"
"74","289.56683526390054","151.46820669777497","4.807351806542282","-0.3099374655099208","0.01611328125","0.02001953125","0.01220703125","1500","0.0003486815582198416","60","0","0.0003486815582198416","0.0003486815582198416","89:0.01705675084680977","89:660","0.01611328125","Yes"
"75","162.10328408985646","71.93639566873955","4.768539898503453","-0.31864378902985674","0.078369140625","0.0771484375","0.07958984375","1500","0.0003645954849298772","60","0","0.0003645954849298772","0.0003645954849298772","","","0.078369140625","Yes"
"76","180.3035156906905","159.4739025705638","5.029627659407704","-0.30657106883198","0.03125","0.028564453125","0.033935546875","1500","0.00032951419686463466","60","0","0.00032951419686463466","0.00032951419686463466","75:0.009672231851932;77:0.012740869370303193","75:660;77:660","0.03125","Yes"
"77","269.37513272923263","123.91517493991076","4.749336920999901","-0.30523623500221747","0.1669921875","0.11865234375","0.21533203125","1500","0.000257048379568824","60","0","0.000257048379568824","0.000257048379568824","","","0.1669921875","Yes"
"78","157.5315010503629","171.12333709741668","4.826433835126617","-0.31003497533609325","0.017333984375","0.01513671875","0.01953125","1500","0.00025530416376785483","60","0","0.00025530416376785483","0.00025530416376785483","77:0.007461319318819104","77:660","0.017333984375","Yes"
"79","357.7628151094368","151.60882380718175","4.739145857522541","-0.3109722246864854","0.04296875","0.048095703125","0.037841796875","1500","0.00025141452743244493","60","0","0.00025141452743244493","0.00025141452743244493","78:0.006569102166525759;80:0.007114884117253667;91:0.00569778633865381","78:660;80:660;91:660","0.04296875","Yes"
"80","170.74934115013653","197.78825762834353","4.902764208620965","-0.30849992225723727","0.0185546875","0.018310546875","0.018798828125","1500","0.00028270826313388263","60","0","0.00028270826313388263","0.00028270826313388263","81:0.007413308363156262","81:660","0.0185546875","Yes"
"81","124.77257790582773","65.11040639314106","4.789434343436021","-0.3062637065230052","0.0115966796875","0.015380859375","0.0078125","1500","0.00023339743397918482","60","0","0.00023339743397918482","0.00023339743397918482","72:0.021769433601575405","72:660","0.0115966796875","Yes"
"82","412.12707773482015","456.3817686694118","4.642670278901292","-0.31186369766334915","0.03955078125","0.030517578125","0.048583984375","1500","0.0002008961010630691","60","0","0.0002008961010630691","0.0002008961010630691","81:0.009173548396251702;83:0.007253016110585819","81:660;83:660","0.03955078125","Yes"
"83","200.402797717729","147.089227486828","4.755991543517366","","0.0242919921875","0.0224609375","0.026123046875","1500","0.00019469268614221382","60","0","0.00019469268614221382","0.00019469268614221382","92:0.07860457082100103","92:660","0.0242919921875","Yes"
"84","272.95054727246645","176.73685580670465","4.856043367324149","-0.3088109632745694","0.0301513671875","0.0244140625","0.035888671875","1500","0.00021913148453684715","60","0","0.00021913148453684715","0.00021913148453684715","83:0.005131253334862362","83:660","0.0301513671875","Yes"
"85","154.1111107145151","172.29511374023016","4.9333358490465065","-0.30818679430408225","0.0213623046875","0.017822265625","0.02490234375","1500","0.00034785877119588123","60","0","0.00034785877119588123","0.00034785877119588123","73:0.010285702246930706;84:0.00820108882590137;86:0.014984373417480795","73:660;84:660;86:660","0.0213623046875","Yes"
"86","141.41870967416978","134.0027549994449","4.841632688075846","-0.3084204215042869","0.0205078125","0.01806640625","0.02294921875","1500","0.0004662357464240897","60","0","0.0004662357464240897","0.0004662357464240897","","","0.0205078125","Yes"
"87","247.1791175198073","201.3864060555642","4.906563223952475","-0.3081333190724671","0.04150390625","0.0478515625","0.04736328125","1500","0.00016857072378240084","60","0","0.00016857072378240084","0.00016857072378240084","86:0.0058177338319775895","86:660","0.04150390625","Yes"
