"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"10","157.4051023555365","118.71775776520309","0.0067138671875","0.0078125","0.005615234375","1560","0.00014058929372754732","24","0.00014058929372754732","0","0.00014058929372754732","0.00014058929372754732","9:68;11:68","9:0.0014968542481587355;11:0.010134996123023876","9:0.0014024795759815523;11:0.010204106456528278","0.0067138671875","Yes"
"11","36.26516350699459","4.788501331414062","0.060302734375","0.095458984375","0.025146484375","1560","0.002535660085311178","24","0.002535660085311178","0","0.002535660085311178","0.002535660085311178","18:68;10:68;12:68","18:0.012257748867005869;10:0.010134996123023876;12:0.008009755454457618","18:0.01094454646585269;10:0.010204106456528278;12:0.009232762347768458","0.060302734375","Yes"
"12","79.27077099249315","82.78903159068706","0.020263671875","0.03076171875","0.009765625","1560","0.0002886138720171307","24","0.0002886138720171307","0","0.0002886138720171307","0.0002886138720171307","13:68;11:68","13:0.005468658008889793;11:0.008009755454457618","13:0.002831754904645989;11:0.009232762347768458","0.020263671875","Yes"
"13","126.85464425210843","122.23355459291612","0.0169677734375","0.015625","0.018310546875","1560","0.0002441489269338216","24","0.0002441489269338216","0","0.0002441489269338216","0.0002441489269338216","12:68;14:68","12:0.005468658008889793;14:0.0018925109136284923","12:0.002831754904645989;14:0.0012487887522927288","0.0169677734375","Yes"
"14","167.31846842621536","55.74386165609149","0.006591796875","0.008056640625","0.005126953125","1560","0.00025476250457718457","24","0.00025476250457718457","0","0.00025476250457718457","0.00025476250457718457","15:68;13:68","15:0.0018778027343104298;13:0.0018925109136284923","15:0.001564183771542188;13:0.0012487887522927288","0.006591796875","Yes"
"15","340.49744697569815","214.72425450724836","0.0205078125","0.0146484375","0.0263671875","1560","0.00022810688932864022","24","0.00022810688932864022","0","0.00022810688932864022","0.00022810688932864022","14:68;19:68","14:0.0018778027343104298;19:0.0024541051135735514","14:0.001564183771542188;19:0.002755843034923683","0.0205078125","Yes"
"16","130.84775754443004","112.88737679910075","0.0079345703125","0.01123046875","0.004638671875","1560","0.0004111615237773905","24","0.0004111615237773905","0","0.0004111615237773905","0.0004111615237773905","23:68;3:68","23:0.0036058012361459835;3:0.0031921006552584064","23:0.0035355936846827585;3:0.0024295496000289463","0.0079345703125","Yes"
"17","200.93323551412118","95.53159124748487","0.07421875","0.061767578125","0.086669921875","1560","0.00024044867756067815","24","0.00024044867756067815","0","0.00024044867756067815","0.00024044867756067815","7:68;27:68","7:0.002291607986340427;27:0.03063670839719948","7:0.0027360846658501525;27:0.042587873995225844","0.07421875","Yes"
"18","156.3370554036387","77.1809028781399","0.006103515625","0.008056640625","0.004150390625","1560","0.00037628397463109126","24","0.00037628397463109126","0","0.00037628397463109126","0.00037628397463109126","11:68;31:68","11:0.012257748867005869;31:0.002870146851837091","11:0.01094454646585269;31:0.0022666240635263457","0.006103515625","Yes"
"19","156.71221689839103","144.78381535687527","0.0120849609375","0.011962890625","0.01220703125","1560","0.0006031663540217932","24","0.0006031663540217932","0","0.0006031663540217932","0.0006031663540217932","35:68;15:68","35:0.002134118708528948;15:0.0024541051135735514","35:0.0022266736752437344;15:0.002755843034923683","0.0120849609375","Yes"
"20","136.73057278319826","161.3100098412894","0.0218505859375","0.02978515625","0.013916015625","1560","0.00024164128583413087","24","0.00024164128583413087","0","0.00024164128583413087","0.00024164128583413087","21:68","21:0.010660043624804494","21:0.004865785122178667","0.0218505859375","Yes"
"21","97.60983359783492","115.82390893137433","0.0111083984375","0.01806640625","0.004150390625","1560","0.00032311909212971816","24","0.00032311909212971816","0","0.00032311909212971816","0.00032311909212971816","36:68;20:68;22:68","36:0.006754271111733379;20:0.010660043624804494;22:0.0025951807804156513","36:0.004565945937831328;20:0.004865785122178667;22:0.002079747510710328","0.0111083984375","Yes"
"22","171.35716763696283","130.60799722580103","0.0064697265625","0.007568359375","0.00537109375","1560","0.0024012826333183333","24","0.0024012826333183333","0","0.0024012826333183333","0.0024012826333183333","23:68;21:68","23:0.0015235002620689886;21:0.0025951807804156513","23:0.0020614054657392966;21:0.002079747510710328","0.0064697265625","Yes"
