"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"30","234.7676457105633","45.395684380032726","0.0152587890625","0.01953125","0.010986328125","2280","0.0001876852595630885","32","0.0001876852595630885","0","0.0001876852595630885","0.0001876852595630885","31:0.004612827333555836;29:0.0014245653902724698","31:68;29:80","31:0.015543265637155329;29:0.0016033537229123707","0.0152587890625","0.006591796875","Yes"
"31","215.04954819022117","199.1214754833001","0.14306640625","0.083984375","0.2021484375","2280","0.00027009532929269607","32","0.00027009532929269607","0","0.00027009532929269607","0.00027009532929269607","30:0.004612827333555836;32:0.00399425731032077;18:0.0038126279442916577","30:68;32:68;18:68","30:0.015543265637155329;32:0.0023277217739839373;18:0.0026933414399178124","0.14306640625","0.086181640625","Yes"
"32","255.1918092713326","329.6675709285033","0.0206298828125","0.0244140625","0.016845703125","2280","0.00013670025797272688","32","0.00013670025797272688","0","0.00013670025797272688","0.00013670025797272688","31:0.00399425731032077;33:0.002630150673228554","31:68;33:68","31:0.0023277217739839373;33:0.0027845993937637425","0.0206298828125","0.010009765625","Yes"
"33","325.74803057856","364.97035953892487","0.0166015625","0.013916015625","0.019287109375","2280","0.00008925959630129179","32","0.00008925959630129179","0","0.00008925959630129179","0.00008925959630129179","39:0.0020155158050234045;32:0.002630150673228554;34:0.0027351288031078613","39:68;32:68;34:108","39:0.0012640259081204697;32:0.0027845993937637425;34:0.0021240775421394187","0.0166015625","0.015625","Yes"
"34","372.98988974936077","326.53974782274884","0.0264892578125","0.021484375","0.031494140625","2280","0.00023309937557483982","32","0.00023309937557483982","0","0.00023309937557483982","0.00023309937557483982","33:0.0027351288031078613;35:0.0025459786158399667","33:108;35:68","33:0.0021240775421394187;35:0.0017027778590654186","0.0264892578125","0.018798828125","Yes"
"35","306.09191556134806","279.8191002870989","0.02783203125","0.02197265625","0.03369140625","2280","0.0001245216351971522","32","0.0001245216351971522","0","0.0001245216351971522","0.0001245216351971522","19:0.0008213287405148262;34:0.0025459786158399667","19:68;34:68","19:0.0010974860174605694;34:0.0017027778590654186","0.02783203125","0.05615234375","Yes"
"36","237.75877654602843","181.1590732955944","0.0126953125","0.01025390625","0.01513671875","2280","0.0001538962775193325","32","0.0001538962775193325","0","0.0001538962775193325","0.0001538962775193325","41:0.0021327193224869867;21:0.001723003861288569","41:68;21:68","41:0.0022304558059391133;21:0.0018933534009433206","0.0126953125","0.009765625","Yes"
"37","148.3983379073114","35.93757656930652","0.004638671875","0.008544921875","0.000732421875","2280","0.001071125362408572","32","0.001071125362408572","0","0.001071125362408572","0.001071125362408572","45:0.0021594245822681157;25:0.002137149852874054","45:68;25:68","45:0.0019437285928434467;25:0.001994830660376923","0.004638671875","0.00732421875","Yes"
"38","254.8177639982689","111.46605852895104","0.008056640625","0.014892578125","0.001220703125","2280","0.00020791015657040438","32","0.00020791015657040438","0","0.00020791015657040438","0.00020791015657040438","29:0.010230695544670432;49:0.0016906224220429034","29:68;49:68","29:0.004853068924116466;49:0.0012976047120033252","0.008056640625","0.00439453125","Yes"
"39","181.57981459936053","125.36442375395593","0.0140380859375","0.018798828125","0.00927734375","2280","0.00023953882388535062","32","0.00023953882388535062","0","0.00023953882388535062","0.00023953882388535062","53:0.001397266036561623;33:0.0020155158050234045","53:68;33:68","53:0.0013265316384793169;33:0.0012640259081204697","0.0140380859375","0.03173828125","Yes"
"40","357.29499840691403","59.1253420137963","0.009521484375","0.010009765625","0.009033203125","2280","0.00028587976988334604","32","0.00028587976988334604","0","0.00028587976988334604","0.00028587976988334604","41:0.0023679817751559584","41:68","41:0.0017788364598890771","0.009521484375","0.029541015625","Yes"
"41","351.7760926277995","55.84366706946917","0.0113525390625","0.0126953125","0.010009765625","2280","0.0002409801352184912","32","0.0002409801352184912","0","0.0002409801352184912","0.0002409801352184912","40:0.0023679817751559584;42:0.0020147598931097577;36:0.0021327193224869867","40:68;42:68;36:68","40:0.0017788364598890771;42:0.0018752515734524466;36:0.0022304558059391133","0.0113525390625","0.0087890625","Yes"
"42","369.6978028293505","102.97604306556445","0.0054931640625","0.004150390625","0.0068359375","2280","0.0002229643394159461","32","0.0002229643394159461","0","0.0002229643394159461","0.0002229643394159461","41:0.0020147598931097577;43:0.0021880828238556027","41:68;43:68","41:0.0018752515734524466;43:0.002083381508604598","0.0054931640625","0.005615234375","Yes"
"43","240.98686627594023","43.316877304723675","0.0052490234375","0.004150390625","0.00634765625","2280","0.0006502521152059593","32","0.0006502521152059593","0","0.0006502521152059593","0.0006502521152059593","42:0.0021880828238556027;56:0.0022587980005920605;44:0.0019934278876736766","42:68;56:68;44:68","42:0.002083381508604598;56:0.0021685014931398794;44:0.0016393694024595673","0.0052490234375","0.009033203125","Yes"
"44","259.0106323593121","284.897396284583","0.0048828125","0.0087890625","0.001953125","2280","0.00018701067603902192","32","0.00018701067603902192","0","0.00018701067603902192","0.00018701067603902192","45:0.0013254024154113475;43:0.0019934278876736766","45:68;43:68","45:0.0012469822156904176;43:0.0016393694024595673","0.0048828125","0.002197265625","Yes"
"45","345.15723254336456","162.94036081299598","0.00439453125","0.005126953125","0.003662109375","2280","0.0001965586589975729","32","0.0001965586589975729","0","0.0001965586589975729","0.0001965586589975729","44:0.0013254024154113475;46:0.0016139872836010982;37:0.0021594245822681157","44:68;46:68;37:68","44:0.0012469822156904176;46:0.001989839610880645;37:0.0019437285928434467","0.00439453125","0.005859375","Yes"
"46","151.13963638375833","96.28475029613888","0.0047607421875","0.00732421875","0.002197265625","2280","0.0003730611633768012","32","0.0003730611633768012","0","0.0003730611633768012","0.0003730611633768012","45:0.0016139872836010982;47:0.0018521234496106098","45:68;47:68","45:0.001989839610880645;47:0.0020048569635174873","0.0047607421875","0.00341796875","Yes"
"47","338.570021972703","350.61368108382703","0.014404296875","0.0087890625","0.02001953125","2280","0.00025105756505965933","32","0.00025105756505965933","0","0.00025105756505965933","0.00025105756505965933","48:0.002180091139608653;57:0.0017388713152390045;46:0.0018521234496106098","48:68;57:68;46:68","48:0.004480009627688686;57:0.0022386768816400615;46:0.0020048569635174873","0.014404296875","0.00537109375","Yes"
"48","263.41222681129784","16.95825434934445","0.0035400390625","0.0048828125","0.002197265625","2280","0.00028744032152232523","32","0.00028744032152232523","0","0.00028744032152232523","0.00028744032152232523","47:0.002180091139608653;49:0.0016660858008367418","47:68;49:68","47:0.004480009627688686;49:0.0029589611113654546","0.0035400390625","0.0068359375","Yes"
"49","258.3243606230377","111.60039139050004","0.0201416015625","0.013916015625","0.0263671875","2280","0.00019948953618693718","32","0.00019948953618693718","0","0.00019948953618693718","0.00019948953618693718","48:0.0016660858008367418;50:0.0014613686172624263;38:0.0016906224220429034","48:68;50:68;38:68","48:0.0029589611113654546;50:0.0012678031286246783;38:0.0012976047120033252","0.0201416015625","0.008056640625","Yes"
"50","270.3106985592623","208.66275576895174","0.0042724609375","0.005126953125","0.00341796875","2280","0.00012563085393143942","32","0.00012563085393143942","0","0.00012563085393143942","0.00012563085393143942","49:0.0014613686172624263;51:0.0012591505926300706","49:68;51:68","49:0.0012678031286246783;51:0.004335537390918354","0.0042724609375","0.008544921875","Yes"
"51","207.64630052992283","194.76414210291074","0.037109375","0.02587890625","0.04833984375","2280","0.00026505998125079947","32","0.00026505998125079947","0","0.00026505998125079947","0.00026505998125079947","50:0.0012591505926300706;52:0.0019319179801396968;58:0.0016485996253739754","50:68;52:68;58:68","50:0.004335537390918354;52:0.0019537535111302795;58:0.0015480939809867922","0.037109375","0.017333984375","Yes"
