"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"65","262.9904460045518","197.33518590173486","0.021240234375","0.025634765625","0.016845703125","2400","0.0006410322271160444","32","0.0006410322271160444","0","0.0006410322271160444","0.0006410322271160444","55:0.002518849530693118;64:0.0017000061496079688;66:0.043715340581994805;75:0.002409450053620782","55:68;64:108;66:108;75:68","0.021240234375","Yes"
"66","496.911288392591","184.1511021167126","0.0594482421875","0.079345703125","0.03955078125","2400","0.00023030164980839473","32","0.00023030164980839473","0","0.00023030164980839473","0.00023030164980839473","56:0.002077550233485076;65:0.043715340581994805;67:0.0014748774453118563;76:0.0011163472740763625","56:68;65:108;67:68;76:88","0.0594482421875","Yes"
"67","378.6093983955298","179.98490728232616","0.029052734375","0.04931640625","0.0087890625","2400","0.00091126442143182","32","0.00091126442143182","0","0.00091126442143182","0.00091126442143182","77:0.0037265897688266714;57:0.003164920635729346;66:0.0014748774453118563","68:108;77:68;57:68;66:68","0.029052734375","Yes"
"68","314.0270037942153","227.73893207734608","0.04248046875","0.04541015625","0.03955078125","2400","0.0001741341632680607","32","0.0001741341632680607","0","0.0001741341632680607","0.0001741341632680607","58:0.07514871261256997;69:0.001960281435159611;78:0.0012298572949937525","67:108;58:108;69:68;78:68","0.04248046875","Yes"
"69","318.92009227378605","336.1777577816855","0.014892578125","0.013916015625","0.015869140625","2400","0.00008706807260420332","32","0.00008706807260420332","0","0.00008706807260420332","0.00008706807260420332","68:0.001960281435159611;59:0.07725599198854916","68:68;59:108;79:68","0.014892578125","Yes"
"70","396.9344865687093","523.1684985070927","0.0133056640625","0.016357421875","0.01025390625","2400","0.00015716541074205304","32","0.00015716541074205304","0","0.00015716541074205304","0.00015716541074205304","60:0.0035196629136796387;71:0.00262532382218178;80:0.0015904400643455552","60:68;71:68;80:68","0.0133056640625","Yes"
"71","187.63136219896242","183.66600383041012","0.010009765625","0.01318359375","0.006103515625","2400","0.000209478744699029","32","0.000209478744699029","0","0.000209478744699029","0.000209478744699029","72:0.0013243564537592234;81:0.005301255116531872;61:0.017182298411944075;70:0.00262532382218178","72:68;81:68;61:68;70:68","0.010009765625","Yes"
"72","441.4448573410283","407.5171435493989","0.037353515625","0.0283203125","0.04638671875","2400","0.00014457018849056436","32","0.00014457018849056436","0","0.00014457018849056436","0.00014457018849056436","73:0.011893215279956904;62:0.0037894737783398524;82:0.015561007040919173;71:0.0013243564537592234","73:68;62:168;82:88;71:68","0.037353515625","Yes"
"73","338.7714735190774","264.0232228718087","0.0194091796875","0.026123046875","0.0126953125","2400","0.00017832539852513505","32","0.00017832539852513505","0","0.00017832539852513505","0.00017832539852513505","72:0.011893215279956904;74:0.025034789098595966;83:0.006387143571462195;63:0.0036264550464180367","72:68;74:108;83:68;63:68","0.0194091796875","Yes"
"74","87.35133572904962","107.99590222276834","0.0062255859375","0.0107421875","0.001708984375","2400","0.0003093048515917424","32","0.0003093048515917424","0","0.0003093048515917424","0.0003093048515917424","73:0.025034789098595966;75:0.003267049033225583;84:0.0020921281251228274;64:0.0017362732715822116","73:108;75:68;84:68;64:68","0.0062255859375","Yes"
"75","249.2226274949204","188.24502241268084","0.0206298828125","0.025634765625","0.015625","2400","0.00017052888932724157","32","0.00017052888932724157","0","0.00017052888932724157","0.00017052888932724157","74:0.003267049033225583;85:0.003949956388034692;65:0.002409450053620782","74:68;76:68;85:68;65:68","0.0206298828125","Yes"
"76","477.2666737354144","253.96579939717898","0.0146484375","0.015869140625","0.013427734375","2400","0.00026597338918484274","32","0.00026597338918484274","0","0.00026597338918484274","0.00026597338918484274","77:0.0012477110814403392;66:0.0011163472740763625;86:0.0012154235617665432","75:68;77:68;66:88;86:88","0.0146484375","Yes"
