"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"19","364.4545792285084","346.17620754320933","0.014892578125","0.015625","0.01416015625","2400","0.0002762822841527441","32","0.0002762822841527441","0","0.0002762822841527441","0.0002762822841527441","18:0.001777513823237209;9:0.0012564002029673005;29:0.001396327962304017","18:128;9:128;29:88","0.014892578125","Yes"
"20","347.0680719275967","402.44443059879643","0.010986328125","0.0126953125","0.00927734375","2400","0.00019815137981511936","32","0.00019815137981511936","0","0.00019815137981511936","0.00019815137981511936","10:0.0018133650496885145;21:0.0011694770298501522;30:0.0012322958514058846","10:128;21:128;30:128","0.010986328125","Yes"
"21","321.8424540904917","298.9391732241673","0.01513671875","0.021484375","0.0087890625","2400","0.00023559496189309978","32","0.00023559496189309978","0","0.00023559496189309978","0.00023559496189309978","20:0.0011694770298501522;22:0.0013999164564671707;11:0.006399154297537735","20:128;22:128;31:180;11:128","0.01513671875","Yes"
"22","493.47153784193864","424.0297666506818","0.0162353515625","0.02197265625","0.010498046875","2400","0.0002039754002814635","32","0.0002039754002814635","0","0.0002039754002814635","0.0002039754002814635","23:0.0020226150911750174;12:0.0029433262562420515;32:0.0016529859543580883;21:0.0013999164564671707","23:148;12:208;32:168;21:128","0.0162353515625","Yes"
"23","174.13311226590704","155.11923599720896","0.025634765625","0.031005859375","0.020263671875","2400","0.00021761366560417566","32","0.00021761366560417566","0","0.00021761366560417566","0.00021761366560417566","22:0.0020226150911750174;13:0.0029647198665117835;24:0.0023254691922524606;33:0.0012054579284076772","22:148;13:228;24:228;33:148","0.025634765625","Yes"
"24","361.84514772982834","187.7006931642399","0.0186767578125","0.025146484375","0.01220703125","2400","0.00020285934883862463","32","0.00020285934883862463","0","0.00020285934883862463","0.00020285934883862463","14:0.0026620642726868926;23:0.0023254691922524606;25:0.002385475887207361;34:0.001116321037416268","14:228;23:228;25:148;34:128","0.0186767578125","Yes"
"25","205.31739612728873","167.8815755852188","0.0086669921875","0.014404296875","0.0029296875","2400","0.00020206333177381246","32","0.00020206333177381246","0","0.00020206333177381246","0.00020206333177381246","15:0.0039696190884906946;24:0.002385475887207361;26:0.0034919547315524213;35:0.0039578933624261625","15:288;24:148;26:128;35:208","0.0086669921875","Yes"
"26","378.7148669460242","68.7061099215463","0.0284423828125","0.048095703125","0.0087890625","2400","0.0006352127490753867","32","0.0006352127490753867","0","0.0006352127490753867","0.0006352127490753867","16:0.003698202291194108;25:0.0034919547315524213;27:0.002928977931346083;36:0.00504535436258427","16:248;25:128;27:88;36:268","0.0284423828125","Yes"
"27","439.56534148364875","333.8633524790326","0.023193359375","0.028564453125","0.017822265625","2400","0.00014361567537877394","32","0.00014361567537877394","0","0.00014361567537877394","0.00014361567537877394","26:0.002928977931346083;28:0.002336253317051201;17:0.002327179327817619;37:0.002585723962195474","26:88;28:108;17:128;37:108","0.023193359375","Yes"
"28","170.5499473139236","165.49668536882086","0.0245361328125","0.04150390625","0.007568359375","2400","0.0004891070484490855","32","0.0004891070484490855","0","0.0004891070484490855","0.0004891070484490855","18:0.003715045197684369;27:0.002336253317051201;29:0.002405148719583583;38:0.008104700793310465","18:88;27:108;29:68;38:228","0.0245361328125","Yes"
